,Ship Name,Type,GRT,Number of Visits,Fuel Burned Per Hour (tons),Total Fuel Burned (tons)
0,armorique,FERRY,29468.0,50,353.616,17680.8
1,arrow,FERRY,7606.0,4,91.272,365.088
2,barfleur,FERRY,20133.0,1,241.596,241.596
3,bretagne,FERRY,24534.0,235,294.408,69185.88
4,commodore clipper,FERRY,14000.0,290,168.0,48720.0
5,commodore goodwill,FERRY,11166.0,282,133.992,37785.744
6,condor islander,FERRY,13906.0,45,166.872,7509.240000000001
7,condor liberation,FERRY,6307.0,16,75.684,1210.944
8,cotentin,FERRY,19909.0,257,238.908,61399.356
9,deutschland,CRUISE,22496.0,1,337.44,337.44
10,englishman,TUG,248.0,1,8.68,8.68
11,farra aoife,MISCELLANEOUS,105.0,1,1.26,1.26
12,galicia,FERRY,41863.0,120,502.356,60282.72
13,jaynee w,FUEL BARGE,1689.0,605,8.445,5109.225
14,kbb dummy ship,FREIGHTER,99.0,5,0.99,4.95
15,marietje hester,FREIGHTER,2409.0,1,24.09,24.09
16,mont st michel,FERRY,34800.0,482,417.6,201283.2
17,musketier,FREIGHTER,2545.0,16,25.45,407.2
18,nobleman,TUG,145.0,3,5.075,15.225000000000001
19,normandie,FERRY,27541.0,484,330.492,159958.128
20,pont aven,FERRY,41748.0,5,500.976,2504.88
21,salamanca,FERRY,42000.0,14,504.0,7056.0
22,santona,FERRY,40500.0,111,486.0,53946.0
23,scotsman,TUG,192.0,17,6.72,114.24
24,sospan dau,DREDGER,1546.0,1,38.65,38.65
25,spirit of discovery,CRUISE,58250.0,1,873.75,873.75
26,st clare,FERRY,5359.0,6,64.308,385.84800000000007
27,st faith,FERRY,3009.0,3,36.108,108.32399999999998
28,victoria of wight,FERRY,8041.0,13,96.492,1254.396
29,viking energy,MISCELLANEOUS,255.0,3,3.06,9.18
30,whitchallenger,FUEL BARGE,2958.0,7,14.79,103.53
31,whitchampion,FUEL BARGE,2965.0,179,14.825,2653.6749999999997
32,whitonia,FUEL BARGE,4292.0,218,21.46,4678.28
33,wight ryder 1,FERRY,520.0,1,6.24,6.24
34,wight ryder 2,FERRY,520.0,2,6.24,12.48
35,yorkshireman,TUG,144.0,5,5.04,25.2
